time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-12T09:15:52.120Z,46.9186667,-112.5251667,10.95,1.5,ml,14,118,0.097,0.13,mb,mb80347934,2019-06-12T13:51:57.180Z,"12km ESE of Lincoln, Montana",earthquake,0.47,0.66,0.048,3,reviewed,mb,mb
2019-06-12T09:13:20.931Z,-3.3261,-102.6656,10,4.4,mb,,215,21.571,0.71,us,us70003yfm,2019-06-12T09:36:36.040Z,"Central East Pacific Rise",earthquake,5.5,2,0.048,124,reviewed,us,us
2019-06-12T09:13:11.295Z,62.1736,-145.4815,31.2,1,ml,,,,0.3,ak,ak0197hq1a49,2019-06-12T09:18:00.010Z,"7km NNE of Glennallen, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-06-12T08:49:53.500Z,19.0268,-68.3518,110,3.04,md,7,181,0.8768,0.54,pr,pr2019163008,2019-06-12T11:56:35.587Z,"49km N of Punta Cana, Dominican Republic",earthquake,5.9,4.75,0.2,4,reviewed,pr,pr
2019-06-12T08:48:43.840Z,33.3591667,-116.3065,5.36,1.99,ml,60,43,0.1297,0.21,ci,ci38637048,2019-06-12T10:23:49.724Z,"13km NNE of Borrego Springs, CA",earthquake,0.23,1.31,0.161,26,automatic,ci,ci
2019-06-12T08:43:16.440Z,40.7389984,-123.1439972,4.69,1.85,md,5,182,0.7163,0.12,nc,nc73196426,2019-06-12T10:03:04.125Z,"17km W of Weaverville, CA",earthquake,3.17,12.73,,1,automatic,nc,nc
2019-06-12T08:42:27.900Z,19.4020004,-155.2769928,0.61,1.81,ml,22,44,0.007316,0.17,hv,hv70992241,2019-06-12T08:48:07.690Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.21,0.26,12,automatic,hv,hv
2019-06-12T08:42:01.570Z,33.323,-116.3465,11.07,0.56,ml,10,128,0.08056,0.1,ci,ci38637032,2019-06-12T08:45:36.875Z,"8km NNE of Borrego Springs, CA",earthquake,0.31,0.63,0.094,6,automatic,ci,ci
2019-06-12T08:41:41.340Z,17.9181,-66.8233,12,2.06,md,7,225,0.2268,0.18,pr,pr2019163007,2019-06-12T11:56:14.891Z,"8km S of Indios, Puerto Rico",earthquake,0.68,1.15,0.23,7,reviewed,pr,pr
2019-06-12T08:41:35.190Z,34.0456667,-117.5123333,4.55,0.73,ml,20,56,0.04981,0.15,ci,ci38637024,2019-06-12T08:45:21.339Z,"5km NW of Glen Avon, CA",earthquake,0.35,0.69,0.184,14,automatic,ci,ci
2019-06-12T08:40:25.690Z,33.3211667,-116.3516667,9.39,0.85,ml,32,125,0.07615,0.2,ci,ci38637016,2019-06-12T08:43:49.079Z,"8km NNE of Borrego Springs, CA",earthquake,0.34,0.69,0.158,11,automatic,ci,ci
